symbol,exchange,name,sector,industry,slug
TNIE,XETRA,Tonies SE,Consumer Discretionary,Leisure Products,tonies-se
GTK,XETRA,Tonkens Agrar,Consumer Staples,Food Products,tonkens-agrar-ag
TOTF,XETRA,TotalEnergies SE,Energy,"Oil, Gas & Consumable Fuels",total?cid=963315
8TRA,XETRA,Traton,Industrials,Machinery,traton-se
TRUG,XETRA,Traumhaus,Consumer Discretionary,Household Durables,traumhaus?cid=1176387
TTOG,XETRA,TTL Beteiligungs,Real Estate,Real Estate Management & Development,ttl-information-technology-ag?cid=1117819
9TS,XETRA,TubeSolar AG,Information Technology,Semiconductors & Semiconductor Equipment,tubesolar-ag
TUFG,XETRA,Tuff,Energy,Energy Equipment & Services,tuff?cid=1123885
TUIGn,XETRA,Tui,Consumer Discretionary,"Hotels, Restaurants & Leisure",tui-n?cid=25352
TWTR,XETRA,Twitter Inc,Communication Services,Interactive Media & Services,twitter-inc?cid=963038
CFCG,XETRA,UET United Electronic Technology,Information Technology,Communications Equipment,uet-united-electronic-technology-ag
UMDk,XETRA,UMT United Mobility,Information Technology,Software,umt-united-mobility-technology-ag
UBKG,XETRA,Umweltbank,Financial,Banks,umweltbank?cid=987088
CRIG,XETRA,UniCredit,Financial,Banks,unicredito?cid=963435
UDCG,XETRA,UniDevice,Information Technology,"Electronic Equipment, Instruments & Components",unidevice?cid=1176388
ULVR,XETRA,Unilever,Consumer Staples,Personal Products,unilever-ord?cid=1167053
UN01,XETRA,Uniper SE,Utilities,Independent Power and Renewable Electricity Producers,uniper-se?cid=1073874
UNIQ,XETRA,Uniqa Insurance AG,Financial,Insurance,uniqa-vers?cid=1056296
UTDI,XETRA,United Internet AG,Communication Services,Diversified Telecommunication Services,united-internet?cid=22522
ULCG,XETRA,United Labels,Consumer Discretionary,Leisure Products,united-labels-ag?cid=962961
OSPGk,XETRA,USU Software AG,Information Technology,Software,usu-software-ag
UZUG,XETRA,Uzin Utz,Materials,Chemicals,uzin-utz-ag
VQTG,XETRA,va Q tec,Industrials,Machinery,va-q-tec-ag
VTWRn,XETRA,Vantage Towers AG,Communication Services,Diversified Telecommunication Services,vantage-towers-ag
VAO,XETRA,Vapiano,Consumer Discretionary,"Hotels, Restaurants & Leisure",vapiano-se
VG8G,XETRA,Varengold Bank,Financial,Capital Markets,varengold-bank-ag
VAR1,XETRA,Varta,Industrials,Electrical Equipment,varta
NB11,XETRA,Vaxart,Healthcare,Biotechnology,nabi-pharmaceuticals?cid=1180410
V3SG,XETRA,Vectron Systems,Information Technology,"Electronic Equipment, Instruments & Components",vectron-systems-ag
VEZ,XETRA,Veganz,Consumer Staples,Food Products,veganz
VIE,XETRA,Veolia Environnement,Utilities,Multi-Utilities,veolia-environ?cid=963323
VBKG,XETRA,Verbio Vereinigte,Energy,"Oil, Gas & Consumable Fuels",verbio-vereinigte-bioenergie-ag
VERB,XETRA,Verbund AG Kat. A,Utilities,Electric Utilities,verbund?cid=963379
